Date,Name,Description,Activity Types,Distance,Duration,Ascent,Descent,Calories,Feeling,RPE,Average Speed,Average Pace,Average Swim Pace,Average Grade Adjusted Pace,Average Heart Rate,Average Power,Maximum Power,VO2Max,Link
"6/30/2020","2020-06-30T08:03:38.000Z","","Running","6.02 Km","32m 38s","21 m","21 m","400 KCal","Good ","","11.07 km/h","05:25 min/km","","05:22 min/km","149 bpm","","","57.50 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3cPQA91MbTn2CvY9o941nrLdHi9dwLjMFZLc8N1ozWgeLNm"
"6/30/2020","2020-06-30T17:15:14.000Z","","Running","8.37 Km","40m 22s","49 m","14 m","590 KCal","Very Good ","","12.44 km/h","04:49 min/km","","04:43 min/km","164 bpm","","","57.80 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3cPQA91MbTn2CvY9o941r5xFKXpW1GsC7wtpM4QNgNF9unu"
"7/1/2020","2020-07-01T08:56:24.000Z","","Running","6.18 Km","34m 17s","28 m","21 m","411 KCal","Average ","","10.82 km/h","05:32 min/km","","05:32 min/km","147 bpm","","","57.40 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3cPQA91MbTn2CvY9o949ZjUhgFE9RYCqwmpiDuy836k89ZS"
"7/2/2020","2020-07-02T07:34:35.000Z","","Running","15.70 Km","01h 26m 40s","35 m","120 m","1039 KCal","","","10.86 km/h","05:31 min/km","","05:27 min/km","152 bpm","","","57.60 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3cPQA91MbTn2CvY9o949ZjUpw1mbrTmQqk7hj8xvTjWgEYu"
"7/3/2020","2020-07-03T08:13:58.000Z","","Running","7.43 Km","39m 41s","21 m","71 m","523 KCal","Very Good ","","11.24 km/h","05:20 min/km","","05:18 min/km","156 bpm","","","57.30 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3cPQA91MbTn2CvY9o94DCUjQCcu9U12XHyvHRh7bEWdaK1P"
"7/4/2020","2020-07-04T08:05:39.000Z","","Running","15.16 Km","01h 23m 26s","49 m","56 m","1090 KCal","Very Good ","","10.90 km/h","05:30 min/km","","05:27 min/km","159 bpm","","","56.90 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3cPQA91MbTn2CvY9p5pnrnwwQkQJJtcFBB1xFCrkVcnDWzb"
"7/5/2020","2020-07-05T09:46:00.000Z","","Running","7.80 Km","43m 37s","14 m","28 m","635 KCal","Good ","","10.72 km/h","05:35 min/km","","05:33 min/km","163 bpm","","","56.20 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3J31ACsxjfMU1ZygZe8a7F6fB22YnHHwYJGYTQe5d6h95Hg"
"7/6/2020","2020-07-06T05:49:32.000Z","","Running","7.50 Km","40m 13s","35 m","100 m","528 KCal","Good ","","11.19 km/h","05:21 min/km","","05:17 min/km","156 bpm","","","56.30 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3J31ACsxjfMU1ZygZe8diN6bzmdnezHSRasesx6z4EUwYwX"
"7/7/2020","2020-07-07T07:55:30.000Z","","Running","13.57 Km","01h 12m 47s","35 m","63 m","1097 KCal","Average ","","11.19 km/h","05:21 min/km","","05:18 min/km","169 bpm","","","56.40 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3J31ACsxjfMU1ZygZe8kBJjbVySo3VicPjgP3jeuDDTJ8GB"
"7/8/2020","2020-07-08T09:13:36.000Z","","Running","9.23 Km","48m 38s","14 m","7 m","711 KCal","Good ","","11.39 km/h","05:16 min/km","","05:13 min/km","164 bpm","","","56.20 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3J31ACsxjfMU1ZygZe8pNXzz9hNJp85ssGAcWPwdnqgNH1k"
"7/9/2020","2020-07-09T09:57:04.000Z","","Running","5.45 Km","30m 16s","0 m","59 m","404 KCal","Average ","","10.80 km/h","05:33 min/km","","05:26 min/km","155 bpm","","","56.40 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3J31ACsxjfMU1ZygZe8t1R1QthwQqzmVaAzWYRQGcqQtgAv"
"7/10/2020","2020-07-10T13:51:30.000Z","","Running","15.33 Km","01h 27m 04s","28 m","86 m","1044 KCal","Good ","","10.56 km/h","05:40 min/km","","05:36 min/km","152 bpm","","","56.50 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3J31ACsxjfMU1ZygZe8zWmJ61KL34SizKJaBCAMTqtdbSdW"
"7/11/2020","2020-07-11T13:07:49.000Z","","Running","9.22 Km","50m 37s","14 m","21 m","655 KCal","Good ","","10.93 km/h","05:29 min/km","","05:27 min/km","156 bpm","","","56.10 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3J31ACsxjfMU1ZygZe94faWnRHrtK1MgLQBCUPJjcFARhXh"
"7/13/2020","2020-07-13T07:41:06.000Z","","Running","9.17 Km","49m 56s","21 m","35 m","625 KCal","Good ","","11.02 km/h","05:26 min/km","","05:24 min/km","153 bpm","","","56.40 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3J31ACsxjfMU1ZygZeBdrzya3D6RwHFGFnNLEttLnLfuR4u"
"7/14/2020","2020-07-14T10:18:22.000Z","","Running","14.17 Km","01h 17m 20s","28 m","35 m","936 KCal","Very Good ","","10.99 km/h","05:27 min/km","","05:24 min/km","153 bpm","","","56.70 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3J31ACsxjfMU1ZygZeBhSXZgSGHfSH9sKE9UzGEbQ4FQTwv"
"7/15/2020","2020-07-15T14:57:58.000Z","","Running","10.46 Km","55m 41s","71 m","56 m","719 KCal","Very Good ","","11.26 km/h","05:19 min/km","","05:13 min/km","156 bpm","","","56.80 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3J31ACsxjfMU1ZygZeBpUaaoyWMYTCCYdUo8Gdq5PD5HNMh"
"7/16/2020","2020-07-16T17:32:23.000Z","","Running","6.52 Km","34m 54s","42 m","28 m","480 KCal","Good ","","11.20 km/h","05:21 min/km","","05:10 min/km","156 bpm","","","56.70 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3J31ACsxjfMU1ZygZeQF1crC1gCsxJMXHkKnSnH75ffV1tj"
"7/17/2020","2020-07-17T15:46:25.000Z","","Running","7.76 Km","44m 34s","42 m","21 m","668 KCal","Good ","","10.45 km/h","05:44 min/km","","05:32 min/km","165 bpm","","","57.10 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3J31ACsxjfMU1ZygZeQKBrpAaZwPpgnFD6WAt2N1psXjdNd"
"7/18/2020","2020-07-18T10:48:35.000Z","","Running","6.53 Km","31m 31s","14 m","43 m","483 KCal","Very Good ","","12.44 km/h","04:49 min/km","","04:47 min/km","166 bpm","","","57.20 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3J31ACsxjfMU1ZygZeQNk4qex28cq512RJn22jgJtX53MTb"
"7/19/2020","2020-07-19T09:24:58.000Z","","Running","26.25 Km","02h 38m 10s","396 m","455 m","2445 KCal","Good ","","9.96 km/h","06:01 min/km","","05:47 min/km","169 bpm","","","55.60 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3J31ACsxjfMU1ZygZeQVCCcVW8eZADpTdrPPBqC9P3DDa2g"
"7/21/2020","2020-07-21T07:28:32.000Z","","Running","6.04 Km","35m 26s","0 m","7 m","382 KCal","Excellent ","","10.22 km/h","05:52 min/km","","05:50 min/km","140 bpm","","","55.60 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3J31ACsxjfMU1ZygZeQcxvRJQMoGBkbJfHUW9ZFrFF3UUVi"
"7/22/2020","2020-07-22T06:33:22.000Z","","Running","8.27 Km","48m 09s","21 m","49 m","574 KCal","Very Good ","","10.31 km/h","05:49 min/km","","05:48 min/km","147 bpm","","","55.70 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3J31ACsxjfMU1ZygZeQjRsEex8fPLGCMrvaX6xirFEhiWEj"
"7/23/2020","2020-07-23T07:55:01.000Z","","Running","11.77 Km","01h 09m 23s","35 m","28 m","838 KCal","Very Good ","","10.17 km/h","05:53 min/km","","05:48 min/km","152 bpm","","","55.60 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3J31ACsxjfMU1ZygZeQo3wtfYmRfpfZjuDKr9Uup968Ekre"
"7/24/2020","2020-07-24T14:58:38.000Z","","Running","10.19 Km","57m 22s","14 m","14 m","819 KCal","Very Good ","","10.65 km/h","05:37 min/km","","05:29 min/km","163 bpm","","","56.10 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3J31ACsxjfMU1ZygZeTKD5J2CjrE87YSS6oTg6i7Cpx3wSF"
"7/25/2020","2020-07-25T09:06:49.000Z","","Running","11.40 Km","01h 08m 14s","14 m","57 m","800 KCal","Very Good ","","10.03 km/h","05:59 min/km","","05:54 min/km","150 bpm","","","56.10 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3J31ACsxjfMU1ZygZeTNmw4gAqXT9ZvcpzsVY2Ax7vaiwrR"
"7/26/2020","2020-07-26T10:02:04.000Z","","Running","10.96 Km","01h 04m 00s","42 m","100 m","798 KCal","Good ","","10.28 km/h","05:50 min/km","","05:45 min/km","154 bpm","","","55.80 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3J31ACsxjfMU1ZygZeTSRnkyhqkhXdSLxvthDUUu7LhFwyA"
"7/27/2020","2020-07-27T06:46:16.000Z","","Running","10.00 Km","58m 40s","35 m","42 m","731 KCal","Excellent ","","10.23 km/h","05:51 min/km","","05:47 min/km","153 bpm","","","55.60 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3J31ACsxjfMU1ZygZeTW27dENuTLsu6cA6YWgeJ673MbPZz"
"7/27/2020","2020-07-27T18:35:44.000Z","","Running","8.66 Km","46m 37s","7 m","0 m","785 KCal","Poor ","","11.15 km/h","05:22 min/km","","05:17 min/km","163 bpm","","","56.10 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3J31ACsxjfMU1ZygZeTZWGbKAuq3Q4u8V69QdZcEgMkqEf3"
"7/28/2020","2020-07-28T14:52:00.000Z","","Running","5.70 Km","29m 56s","21 m","119 m","409 KCal","Very Good ","","11.42 km/h","05:15 min/km","","05:06 min/km","158 bpm","","","56.20 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3J31ACsxjfMU1ZygZefyxxcoVEU7Kck9nJC8NQ3haraGNAX"
"7/29/2020","2020-07-29T08:28:48.000Z","","Running","14.16 Km","01h 19m 52s","42 m","42 m","1046 KCal","Very Good ","","10.64 km/h","05:38 min/km","","05:31 min/km","159 bpm","","","56.20 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3J31ACsxjfMU1ZygZeg3Xqc3RpGwFakvsCoG7pSgKrBpaKM"
"7/30/2020","2020-07-30T06:27:52.000Z","","Running","6.10 Km","37m 57s","28 m","93 m","473 KCal","Poor ","","9.65 km/h","06:13 min/km","","06:09 min/km","151 bpm","","","56.30 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3J31ACsxjfMU1ZygZeg7974XbH6nQcQe6tkq8EFQdT2UEwS"
"7/31/2020","2020-07-31T06:29:22.000Z","","Running","5.97 Km","35m 50s","14 m","49 m","423 KCal","","","9.99 km/h","06:00 min/km","","05:59 min/km","146 bpm","","","56.20 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3J31ACsxjfMU1ZygZegBKWhSPo3m81joH1pRGv8nRKfGXeX"
"8/1/2020","2020-08-01T09:00:36.000Z","","Running","9.23 Km","52m 42s","21 m","56 m","678 KCal","Good ","","10.51 km/h","05:42 min/km","","05:41 min/km","155 bpm","","","56.00 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3J31ACsxjfMU1ZygZegHp4WqYLg8pcHivsmzYNYZz42feDf"
"8/2/2020","2020-08-02T11:42:41.000Z","","Running","11.79 Km","01h 11m 02s","42 m","21 m","824 KCal","Good ","","9.96 km/h","06:01 min/km","","05:56 min/km","149 bpm","","","55.90 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3J31ACsxjfMU1ZygZegN1J1BEpfANbm69FQbkY6HCvcBeVz"
"8/3/2020","2020-08-03T16:35:10.000Z","","Running","8.00 Km","45m 28s","0 m","28 m","660 KCal","Good ","","10.56 km/h","05:41 min/km","","05:30 min/km","153 bpm","","","56.80 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3J31ACsxjfMU1ZygZegUXTNUygiZoyR41mjnB97vfNTU5g4"
"8/3/2020","2020-08-03T17:22:44.000Z","","Running","2.01 Km","13m 04s","7 m","0 m","151 KCal","Good ","","9.23 km/h","06:29 min/km","","06:21 min/km","","","","56.80 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3J31ACsxjfMU1ZygZegUXTNXN8A8S7WMJz5FUbni2piRc9E"
"8/4/2020","2020-08-04T07:33:43.000Z","","Running","12.64 Km","01h 04m 12s","36 m","0 m","870 KCal","Very Good ","","11.82 km/h","05:04 min/km","","04:59 min/km","159 bpm","","","57.30 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3J31ACsxjfMU1ZygZegY34v6TA2s5VJtaMgJ7cecNJ8o8LV"
"8/4/2020","2020-08-04T16:02:21.000Z","","Running","9.09 Km","45m 03s","14 m","28 m","668 KCal","Very Good ","","12.10 km/h","04:57 min/km","","04:56 min/km","165 bpm","","","57.20 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3J31ACsxjfMU1ZygZegY8sYutaQAgKGamsrZQ7PwKc1JnkX"
"8/5/2020","2020-08-05T07:44:59.000Z","","Running","5.68 Km","32m 33s","14 m","7 m","388 KCal","Good ","","10.47 km/h","05:43 min/km","","05:42 min/km","147 bpm","","","57.20 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3J31ACsxjfMU1ZygZeizkkkuh39gEQ4bnR5DR9p16nUxz4C"
"8/6/2020","2020-08-06T06:48:46.000Z","","Running","13.81 Km","01h 15m 50s","21 m","14 m","970 KCal","Good ","","10.92 km/h","05:29 min/km","","05:22 min/km","154 bpm","","","57.20 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3J31ACsxjfMU1ZygZej4woxX36umfkexArKy3M2qLZ1HX56"
"8/7/2020","2020-08-07T07:13:50.000Z","","Running","15.18 Km","01h 22m 29s","35 m","7 m","1125 KCal","","","11.04 km/h","05:26 min/km","","05:20 min/km","161 bpm","","","57.00 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3J31ACsxjfMU1ZygZejBQk5VMWCm7wxV2r91kGiyCWWhYyx"
"8/9/2020","2020-08-09T05:55:58.000Z","","Running","9.82 Km","53m 30s","49 m","100 m","667 KCal","Very Good ","","11.01 km/h","05:27 min/km","","05:22 min/km","151 bpm","","","57.00 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3J31ACsxjfMU1ZygZejJdU6FxPWGeoShdzjzVPj73Yxxu9i"
"8/12/2020","2020-08-12T11:39:33.000Z","","Running","10.20 Km","50m 57s","21 m","43 m","803 KCal","","","12.01 km/h","04:59 min/km","","04:56 min/km","170 bpm","","","56.60 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3J31ACsxjfMU1ZygZewvNfgeg9QsnbhvVAzksCL7V3YVZcv"
"8/12/2020","2020-08-12T17:22:25.000Z","","Running","5.51 Km","31m 47s","35 m","35 m","425 KCal","Good ","","10.39 km/h","05:46 min/km","","05:45 min/km","156 bpm","","","56.20 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3J31ACsxjfMU1ZygZewyEUZ2zMU6S6vtfGEH7dHoKfMkcEc"
"8/13/2020","2020-08-13T07:33:05.000Z","","Running","7.94 Km","47m 13s","14 m","7 m","536 KCal","Average ","","10.09 km/h","05:56 min/km","","05:46 min/km","145 bpm","","","56.60 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3J31ACsxjfMU1ZygZewyxMYPFsaLKxMrEmw2szpXwC7yF4C"
"8/13/2020","2020-08-13T16:25:18.000Z","","Running","2.72 Km","15m 57s","7 m","28 m","203 KCal","Average ","","10.24 km/h","05:51 min/km","","05:48 min/km","147 bpm","","","56.60 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3J31ACsxjfMU1ZygZex2rZmELyMdM4LmPYSHuybPMPLfZ12"
"8/14/2020","2020-08-14T15:37:59.000Z","","Running","9.08 Km","52m 49s","49 m","0 m","606 KCal","","","10.31 km/h","05:49 min/km","","05:42 min/km","147 bpm","","","56.70 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3J31ACsxjfMU1ZygZex72yq4cAnkZmGfXZzG9CBXexPBAW1"
"8/15/2020","2020-08-15T09:03:47.000Z","","Running","30.79 Km","03h 32m 12s","613 m","409 m","2498 KCal","Poor ","","8.70 km/h","06:53 min/km","","06:15 min/km","151 bpm","","","55.60 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3J31ACsxjfMU1ZygZexAe6oP6KpL6ZLEjpQ49BVKS3XKUVF"
"8/16/2020","2020-08-16T08:39:59.000Z","","Running","15.28 Km","01h 24m 51s","21 m","7 m","1063 KCal","Good ","","10.80 km/h","05:33 min/km","","05:28 min/km","151 bpm","","","55.80 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3J31ACsxjfMU1ZygZexH39XHTdP8DDjLVJEp3RbvKZrVxA4"
"8/17/2020","2020-08-17T16:42:39.000Z","","Running","10.12 Km","58m 16s","28 m","78 m","652 KCal","Good ","","10.42 km/h","05:45 min/km","","05:41 min/km","146 bpm","","","56.10 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3J31ACsxjfMU1ZygZezkQW2CkeRn3xqMeZD3WG8pSyncC3m"
"8/18/2020","2020-08-18T06:07:12.000Z","","Running","5.20 Km","29m 15s","14 m","7 m","324 KCal","","","10.67 km/h","05:37 min/km","","05:36 min/km","140 bpm","","","56.40 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3J31ACsxjfMU1ZygZezoMxarQP4oGjgvDRv8EFpirL72iB4"
"8/19/2020","2020-08-19T17:03:57.000Z","","Running","15.87 Km","01h 31m 12s","42 m","88 m","1280 KCal","Excellent ","","10.44 km/h","05:44 min/km","","05:39 min/km","160 bpm","","","56.80 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3J31ACsxjfMU1ZygZezvWM4W6eazhXZn46BWxaThucXxGDA"
"8/20/2020","2020-08-20T07:41:15.000Z","","Running","5.17 Km","29m 47s","14 m","14 m","357 KCal","Very Good ","","10.41 km/h","05:45 min/km","","05:41 min/km","147 bpm","","","56.80 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3J31ACsxjfMU1ZygZezz19C4Yw7h7iNHRQSMmenXFjmcoXf"
"8/21/2020","2020-08-21T08:19:00.000Z","","Running","13.83 Km","01h 20m 20s","35 m","14 m","1005 KCal","Good ","","10.33 km/h","05:48 min/km","","05:42 min/km","155 bpm","","","56.50 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3J31ACsxjfMU1ZygZf13esov4iWi92xZudjujBAgw7qpiaH"
"8/22/2020","2020-08-22T08:50:47.000Z","","Running","5.52 Km","26m 32s","36 m","0 m","396 KCal","Good ","","12.48 km/h","04:48 min/km","","04:35 min/km","163 bpm","","","57.40 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3J31ACsxjfMU1ZygZfDXbshfH6ZrgEWbDL6SCKRozVJu5pG"
"8/23/2020","2020-08-23T08:40:31.000Z","","Running","15.97 Km","01h 19m 58s","21 m","14 m","1119 KCal","Very Good ","","11.98 km/h","05:00 min/km","","04:59 min/km","164 bpm","","","57.70 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3J31ACsxjfMU1ZygZfDb9n1GnX3cb8tjYoPfg2SWpxY2sah"
"8/24/2020","2020-08-24T08:04:51.000Z","","Running","5.71 Km","32m 29s","14 m","14 m","371 KCal","","","10.56 km/h","05:41 min/km","","05:38 min/km","144 bpm","","","57.70 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3J31ACsxjfMU1ZygZfDen13rhWL41RpH2ckrTTvTWcrXysc"
"8/25/2020","2020-08-25T07:08:24.000Z","","Running","5.50 Km","32m 33s","7 m","14 m","393 KCal","","","10.14 km/h","05:55 min/km","","05:53 min/km","147 bpm","","","57.40 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3J31ACsxjfMU1ZygZfDiwUMJ9Vk7nbvTyFdKxohC6KwygW6"
"8/26/2020","2020-08-26T15:14:07.000Z","","Running","10.32 Km","55m 57s","22 m","14 m","667 KCal","Very Good ","","11.06 km/h","05:25 min/km","","05:22 min/km","150 bpm","","","57.50 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3J31ACsxjfMU1ZygZfDr3aK3chkoSYbrATy8qDmvLW32KPy"
"8/27/2020","2020-08-27T17:25:59.000Z","","Running","13.22 Km","01h 09m 37s","14 m","50 m","892 KCal","","","11.39 km/h","05:16 min/km","","05:11 min/km","156 bpm","","","57.50 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3J31ACsxjfMU1ZygZfDxVftR6sS3eGBGk4sKbNA1bkYqKET"
"8/28/2020","2020-08-28T09:00:32.000Z","","Running","9.09 Km","50m 40s","35 m","80 m","603 KCal","Average ","","10.76 km/h","05:34 min/km","","05:27 min/km","149 bpm","","","57.50 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3J31ACsxjfMU1ZygZfDyEWfyBwUMySgcGP9CggWamt4B7G8"
"8/31/2020","2020-08-31T06:46:13.000Z","","Running","83.0 m","35s","0 m","0 m","1 KCal","","","8.50 km/h","07:03 min/km","","06:01 min/km","115 bpm","","","57.50 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3J31ACsxjfMU1ZygZfGj1swoymm9iiqFAPmdvnSBEcUrDgu"
"8/31/2020","2020-08-31T06:47:36.000Z","","Running","14.71 Km","01h 29m 00s","298 m","377 m","1123 KCal","Very Good ","","9.92 km/h","06:02 min/km","","05:46 min/km","155 bpm","","","57.80 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3J31ACsxjfMU1ZygZfGj1t6K8AyC34LQk2G4xdHwqzi9MTD"
"9/3/2020","2020-09-03T06:25:05.000Z","","Running","11.77 Km","01h 03m 12s","116 m","114 m","764 KCal","Very Good ","","11.17 km/h","05:22 min/km","","05:04 min/km","152 bpm","","","58.00 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3J31ACsxjfMU1ZygZfVDfxsnqBC3zoSyBmoo2Gd9xksNM75"
"9/4/2020","2020-09-04T06:24:24.000Z","","Running","13.58 Km","01h 24m 38s","85 m","106 m","960 KCal","Average ","","9.62 km/h","06:14 min/km","","05:55 min/km","146 bpm","","","58.00 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3J31ACsxjfMU1ZygZfVHJrccbbhtiFcbBvEpJ358pvdXwZG"
"9/5/2020","2020-09-05T07:34:10.000Z","","Running","10.84 Km","01h 02m 07s","113 m","106 m","876 KCal","Good ","","10.48 km/h","05:43 min/km","","05:30 min/km","162 bpm","","","57.90 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3J31ACsxjfMU1ZygZfVPkL7yVNT7x4AHGWuj793qCk44QMd"
"9/6/2020","2020-09-06T08:06:34.000Z","","Running","20.25 Km","01h 44m 20s","134 m","106 m","1518 KCal","Very Good ","","11.64 km/h","05:09 min/km","","05:03 min/km","167 bpm","","","57.80 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3J31ACsxjfMU1ZygZfVTxCvKwLs4AB92N5FvEXAeFrd9oGw"
"9/8/2020","2020-09-08T07:16:13.000Z","","Running","11.57 Km","01h 03m 15s","70 m","92 m","961 KCal","Very Good ","","10.98 km/h","05:27 min/km","","05:19 min/km","167 bpm","","","57.60 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3J31ACsxjfMU1ZygZfVe1bM7XoBeoNGUJTwjTfq8ENPjCY4"
"9/9/2020","2020-09-09T07:14:27.000Z","","Running","11.01 Km","01h 00m 05s","92 m","78 m","826 KCal","Good ","","10.99 km/h","05:27 min/km","","05:12 min/km","159 bpm","","","57.80 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3J31ACsxjfMU1ZygZfVheW9jFdmR7fxsVTPg8drtWZYbgWd"
"9/10/2020","2020-09-10T10:22:14.000Z","","Running","8.53 Km","43m 14s","92 m","21 m","632 KCal","Good ","","11.84 km/h","05:04 min/km","","04:53 min/km","164 bpm","","","57.90 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3J31ACsxjfMU1ZygZfYDkYB5D9ZRfGDqhkdRx7ZmZDqeheS"
"9/11/2020","2020-09-11T07:26:12.000Z","","Running","13.82 Km","01h 18m 06s","91 m","128 m","1074 KCal","Good ","","10.62 km/h","05:39 min/km","","05:26 min/km","160 bpm","","","57.70 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3J31ACsxjfMU1ZygZfYHQ5xi1mTaoUgSUywt53Qdodw6Hu4"
"9/12/2020","2020-09-12T11:19:01.000Z","","Running","7.63 Km","46m 47s","78 m","120 m","673 KCal","Good ","","9.79 km/h","06:07 min/km","","05:52 min/km","163 bpm","","","57.40 ","https://quantified-self.io/user/fRf6bCiiKcWGtwF8dXYuUwJgnGe2/event/3J31ACsxjfMU1ZygZfYMaekH1Nss7aVHbxhuWcmqSyzhasr"
